make_model,year,count,mean_price
Audi A4,2011,7.0,8500.0
Audi A6,2005,18.0,6556.222222222223
Audi A6,2006,5.0,7540.0
Audi A6,2010,7.0,11271.42857142857
Audi A8,2005,6.0,9450.0
Audi Q7,2007,8.0,12750.0
BMW 3 Серия,2008,4.0,10875.0
BMW 5 Серия,2005,12.0,10216.666666666666
BMW 5 Серия,2006,8.0,9612.5
BMW 5 Серия,2007,27.0,10042.592592592593
BMW 5 Серия,2008,52.0,12719.01923076923
BMW 5 Серия,2009,17.0,13705.70588235294
BMW 5 Серия,2010,5.0,14480.0
BMW 5 Серия,2011,4.0,14200.0
BMW 7 Серия,2006,8.0,10575.0
BMW 7 Серия,2007,17.0,9841.176470588236
BMW X5,2005,33.0,12303.030303030304
BMW X5,2006,17.0,13182.35294117647
BMW X5,2007,12.0,13308.333333333334
BMW X5,2008,6.0,13183.333333333334
BYD E5,2017,5.0,11340.0
BYD E5,2018,28.0,13532.107142857143
BYD E5,2019,4.0,11400.0
Changan Benben E-Star,2021,5.0,13500.0
Chevrolet Avalanche,2008,7.0,5500.0
Chevrolet Cruze,2009,7.0,7203.428571428572
Chevrolet Cruze,2010,4.0,5520.0
Chevrolet Cruze,2014,4.0,8375.0
Chevrolet Lacetti,2008,7.0,5421.428571428572
Chevrolet Malibu,2015,8.0,12000.0
Chevrolet Malibu,2016,49.0,13414.285714285714
Chevrolet Malibu,2017,21.0,13485.238095238095
Chevrolet Malibu,2018,6.0,14233.166666666666
Chevrolet Matiz,2009,4.0,4887.5
Chevrolet Spark,2010,11.0,6822.727272727273
Chevrolet Spark,2012,14.0,6707.142857142857
Chevrolet Spark,2014,5.0,6800.0
Chevrolet Spark,2015,11.0,8218.90909090909
Chevrolet Spark,2016,76.0,8804.605263157895
Chevrolet Spark,2017,56.0,8335.714285714286
Chevrolet Spark,2018,26.0,8494.192307692309
Chevrolet Spark,2019,5.0,9780.0
Chevrolet TrailBlazer,2007,9.0,7234.555555555556
Chevrolet Volt,2011,11.0,12000.0
Chevrolet Volt,2012,34.0,12920.529411764706
Chevrolet Volt,2013,37.0,13251.324324324325
Chevrolet Volt,2014,11.0,13900.0
Chrysler 300C,2005,8.0,6937.5
Chrysler 300C,2006,9.0,7466.666666666667
Daewoo Lacetti,2005,6.0,5447.166666666667
Daewoo Matiz,2007,6.0,4289.666666666667
Daewoo Matiz,2008,20.0,4662.25
Daewoo Matiz,2009,9.0,4871.444444444444
DongFeng E11K,2019,5.0,12740.0
Ford Edge,2012,6.0,12200.0
Ford Focus,2005,4.0,4945.75
Ford Focus,2013,5.0,8012.8
Honda Accord,2005,20.0,8328.75
Honda Accord,2006,26.0,9084.615384615385
Honda Accord,2007,15.0,9831.066666666668
Honda Accord,2008,52.0,10932.923076923076
Honda Accord,2010,20.0,11695.0
Honda Airwave,2005,16.0,7343.4375
Honda Airwave,2007,10.0,7419.0
Honda CR-V,2005,63.0,11719.047619047618
Honda CR-V,2006,27.0,12040.74074074074
Honda CR-V,2007,17.0,13370.588235294117
Honda CR-V,2008,69.0,13566.666666666666
Honda CR-V,2009,43.0,14081.209302325582
Honda Civic,2006,19.0,7189.368421052632
Honda Civic,2007,27.0,7035.222222222223
Honda Civic,2008,30.0,8641.4
Honda Civic,2009,14.0,8728.57142857143
Honda Civic,2010,4.0,8097.5
Honda Civic,2012,13.0,12707.692307692309
Honda Civic,2013,4.0,11124.25
Honda Edix,2005,16.0,8837.5
Honda Edix,2006,5.0,8200.0
Honda Elysion,2005,21.0,10733.333333333334
Honda Elysion,2006,19.0,11068.421052631578
Honda Elysion,2007,5.0,12360.0
Honda Elysion,2008,19.0,12331.578947368422
Honda Elysion,2009,10.0,12190.0
Honda Fit,2005,167.0,7156.479041916167
Honda Fit,2006,69.0,8265.91304347826
Honda Fit,2007,32.0,8063.625
Honda Fit,2008,53.0,8767.849056603774
Honda Fit,2009,76.0,8601.736842105263
Honda Fit,2010,42.0,9306.904761904761
Honda Fit,2011,9.0,9911.111111111111
Honda Fit,2012,5.0,10400.0
Honda Fit,2014,5.0,11000.0
Honda Fit,2015,14.0,11849.285714285714
Honda Fit,2016,55.0,12821.781818181818
Honda Fit,2017,10.0,13475.0
Honda Fit,2018,7.0,12592.857142857143
Honda Fit,2019,11.0,13818.181818181818
Honda Fit,2020,12.0,14208.333333333334
Honda Insight,2009,4.0,9575.0
Honda Inspire,2005,48.0,9440.6875
Honda Inspire,2006,13.0,10330.76923076923
Honda Inspire,2007,8.0,9475.0
Honda Inspire,2008,23.0,9347.826086956522
Honda Jazz,2005,51.0,7801.921568627451
Honda Jazz,2006,36.0,8905.388888888889
Honda Jazz,2007,27.0,8783.962962962964
Honda Jazz,2008,55.0,8945.945454545454
Honda Jazz,2009,14.0,8614.285714285714
Honda Jazz,2011,14.0,9514.285714285714
Honda Mobilio Spike,2007,7.0,6000.0
Honda Odyssey,2005,19.0,9208.947368421053
Honda Odyssey,2006,14.0,8397.714285714286
Honda Odyssey,2008,10.0,11750.0
Honda Pilot,2008,4.0,14500.0
Honda Stepwgn,2005,111.0,11354.054054054053
Honda Stepwgn,2006,14.0,11123.857142857143
Honda Stepwgn,2007,5.0,9519.8
Honda Stepwgn,2008,30.0,9743.166666666666
Honda Stepwgn,2009,13.0,10630.76923076923
Honda Stepwgn,2010,9.0,12122.222222222223
Honda Stepwgn,2011,7.0,12328.57142857143
